start,end,file,record_id,new_header
2738,8005,samp_4313_maxbin_367,contig_143,samp_4313_maxbin_367_1-heptadecene-like_1
18821,43020,samp_4317_concoct_68,contig_312,samp_4317_concoct_68_Aeruginosin-like_1
3300,9211,samp_4435_maxbin_422,contig_111,samp_4435_maxbin_422_Aeruginosin-like_2
1783,26466,samp_4319_VAMB_955,contig_421,samp_4319_VAMB_955_Aeruginosin-like_3
2,11716,samp_4322_metabat2_24,contig_109,samp_4322_metabat2_24_Aeruginosin-like_4
2063,31577,samp_4445_concoct_1415,contig_72,samp_4445_concoct_1415_Anabaenopeptin-like_1
41,6983,samp_4321_maxbin_137,contig_1,samp_4321_maxbin_137_Anacyclamide-like_1
10002,16941,samp_4311_concoct_412,contig_314,samp_4311_concoct_412_Anacyclamide-like_4
2,5627,samp_4447_metabat2_48,contig_296,samp_4447_metabat2_48_Anacyclamide-like_5
6036,14222,samp_4307_semibin_116,contig_228,samp_4307_semibin_116_Anacyclamide-like_6
6036,11975,samp_4322_concoct_184,contig_61,samp_4322_concoct_184_Anacyclamide-like_7
10002,19843,samp_4439_concoct_171,contig_184,samp_4439_concoct_171_Anacyclamide-like_8
31,6029,samp_4445_concoct_1447,contig_530,samp_4445_concoct_1447_Arylprolene_1
2230,6095,samp_4446_VAMB_96,contig_914,samp_4446_VAMB_96_Arylprolene_2
1124,1593,samp_4434_semibin_67,contig_284,samp_4434_semibin_67_Crocagin_1
54,10914,samp_4444_metabat2_185,contig_143,samp_4444_metabat2_185_Crocagin_2
2376,6029,samp_4435_concoct_1904,contig_427,samp_4435_concoct_1904_Cyanobactin_1
2,1582,samp_4435_concoct_1904,contig_665,samp_4435_concoct_1904_Cyanobactin_2
2,2388,samp_4434_VAMB_405,contig_1902,samp_4434_VAMB_405_Cyanobactin_3
238,3520,samp_4446_metadecoder_636,contig_262,samp_4446_metadecoder_636_Cyanobactin_4
197,6688,samp_4319_maxbin_413,contig_252,samp_4319_maxbin_413_Cyanobactin_5
5383,15009,samp_4446_VAMB_97,contig_192,samp_4446_VAMB_97_Cyanobactin-Terpene_1
3,9595,samp_4434_metabat2_58,contig_120,samp_4434_metabat2_58_Cyanopeptolin-like_1
2,11424,samp_4447_concoct_1018,contig_252,samp_4447_concoct_1018_Cyanopeptolin-like_2
3,7932,samp_4434_metabat2_58,contig_530,samp_4434_metabat2_58_Cyanopeptolin-like_3
3,7589,samp_4446_VAMB_97,contig_68,samp_4446_VAMB_97_Ectoine_1
12604,40311,samp_4325_concoct_153,contig_525,samp_4325_concoct_153_Heterocyst Glycolipids_1
6950,23845,samp_4315_VAMB_280,contig_117,samp_4315_VAMB_280_Heterocyst Glycolipids_10
16683,26592,samp_4324_maxbin_53,contig_213,samp_4324_maxbin_53_Heterocyst Glycolipids_11
10938,23244,samp_4317_concoct_68,contig_274,samp_4317_concoct_68_Heterocyst Glycolipids_2
16996,30197,samp_4447_VAMB_472,contig_107,samp_4447_VAMB_472_Heterocyst Glycolipids_3
5888,18194,samp_4441_maxbin_669,contig_29,samp_4441_maxbin_669_Heterocyst Glycolipids_4
3,26463,samp_4446_metadecoder_636,contig_129,samp_4446_metadecoder_636_Heterocyst Glycolipids_5
8159,34594,samp_4312_concoct_454,contig_57,samp_4312_concoct_454_Heterocyst Glycolipids_6
2789,11716,samp_4448_VAMB_839,contig_2366,samp_4448_VAMB_839_Heterocyst Glycolipids_7
3658,20242,samp_4443_semibin_319,contig_514,samp_4443_semibin_319_Heterocyst Glycolipids_8
7964,25219,samp_4324_maxbin_57,contig_260,samp_4324_maxbin_57_Heterocyst Glycolipids_9
3,12147,samp_4443_semibin_480,contig_250,samp_4443_semibin_480_hglE-KS_1
1770,33031,samp_4324_maxbin_53,contig_124,samp_4324_maxbin_53_hglE-KS_2
3431,8572,samp_4449_metabat2_97,contig_255,samp_4449_metabat2_97_hglE-KS_3
5712,20718,samp_4319_VAMB_955,contig_274,samp_4319_VAMB_955_hglE-KS-PUFA_1
95,4232,samp_4319_concoct_522,contig_1241,samp_4319_concoct_522_Lanthipeptide-class-ii_1
7627,10974,samp_4321_concoct_295,contig_693,samp_4321_concoct_295_Lanthipeptide-class-ii_2
9658,13080,samp_4445_metabat2_158,contig_277,samp_4445_metabat2_158_Lanthipeptide-class-ii_3
515,3868,samp_4320_concoct_456,contig_168,samp_4320_concoct_456_Lanthipeptide-class-ii_4
5738,9160,samp_4443_metabat2_135,contig_62,samp_4443_metabat2_135_Lanthipeptide-class-ii_5
265,3561,samp_4443_VAMB_834,contig_1768,samp_4443_VAMB_834_Lanthipeptide-class-ii_6
10002,13184,samp_4445_semibin_421,contig_114,samp_4445_semibin_421_Lanthipeptide-class-ii_7
1400,7429,samp_4447_maxbin_94,contig_103,samp_4447_maxbin_94_Lanthipeptide-class-v_1
7965,10351,samp_4443_semibin_319,contig_215,samp_4443_semibin_319_Lanthipeptide-class-v_10
13345,15775,samp_4443_semibin_319,contig_425,samp_4443_semibin_319_Lanthipeptide-class-v_11
2167,3953,samp_4443_metabat2_135,contig_457,samp_4443_metabat2_135_Lanthipeptide-class-v_12
19857,22339,samp_4445_semibin_421,contig_72,samp_4445_semibin_421_Lanthipeptide-class-v_13
3718,6015,samp_4435_concoct_1904,contig_96,samp_4435_concoct_1904_Lanthipeptide-class-v_2
13423,14584,samp_4317_concoct_68,contig_348,samp_4317_concoct_68_Lanthipeptide-class-v_3
9022,11499,samp_4447_VAMB_472,contig_97,samp_4447_VAMB_472_Lanthipeptide-class-v_4
6922,9321,samp_4434_VAMB_405,contig_1469,samp_4434_VAMB_405_Lanthipeptide-class-v_5
6298,8728,samp_4448_VAMB_839,contig_384,samp_4448_VAMB_839_Lanthipeptide-class-v_6
767,3386,samp_4448_VAMB_839,contig_614,samp_4448_VAMB_839_Lanthipeptide-class-v_7
12887,15286,samp_4444_semibin_569,contig_43,samp_4444_semibin_569_Lanthipeptide-class-v_8
12887,15286,samp_4326_metabat2_21,contig_28,samp_4326_metabat2_21_Lanthipeptide-class-v_9
231,2528,samp_4317_maxbin_26,contig_153,samp_4317_maxbin_26_LAP_1
10002,14367,samp_4319_VAMB_955,contig_191,samp_4319_VAMB_955_Lassopeptide_1
2082,4679,samp_4441_concoct_710,contig_258,samp_4441_concoct_710_Lassopeptide_2
732,5305,samp_4447_VAMB_322,contig_258,samp_4447_VAMB_322_Lassopeptide_3
6828,24205,samp_4321_concoct_295,contig_230,samp_4321_concoct_295_Merocyclophane-like_1
10274,27651,samp_4319_VAMB_955,contig_842,samp_4319_VAMB_955_Merocyclophane-like_2
2284,61400,samp_4319_VAMB_955,contig_178,samp_4319_VAMB_955_Microcystin_1
10968,70981,samp_4317_maxbin_26,contig_177,samp_4317_maxbin_26_Microcystin_2
995,5360,samp_4435_concoct_1904,contig_477,samp_4435_concoct_1904_Microviridin-like_1
197,2243,samp_4435_concoct_1904,contig_1372,samp_4435_concoct_1904_Microviridin-like_2
3,5094,samp_4444_metabat2_75,contig_746,samp_4444_metabat2_75_Microviridin-like_3
856,4129,samp_4434_semibin_67,contig_107,samp_4434_semibin_67_Microviridin-like_4
611,2905,samp_4435_maxbin_422,contig_185,samp_4435_maxbin_422_Microviridin-like_5
856,3347,samp_4317_maxbin_26,contig_19,samp_4317_maxbin_26_Microviridin-like_6
1,7635,samp_4443_VAMB_834,contig_202,samp_4443_VAMB_834_Microviridin-like_7
7841,10142,samp_4434_semibin_67,contig_9,samp_4434_semibin_67_Microviridin-like_8
190,12468,samp_4448_VAMB_839,contig_2328,samp_4448_VAMB_839_Mycosporine-like_1
1,43069,samp_4443_semibin_319,contig_369,samp_4443_semibin_319_Nocuolin_1
2,6472,samp_4435_concoct_1904,contig_197,samp_4435_concoct_1904_NRPS_1
525,24094,samp_4321_metadecoder_473,contig_307,samp_4321_metadecoder_473_NRPS_10
1,7761,samp_4435_concoct_1904,contig_2230,samp_4435_concoct_1904_NRPS_2
2,9483,samp_4435_maxbin_422,contig_336,samp_4435_maxbin_422_NRPS_3
1,15412,samp_4435_maxbin_440,contig_738,samp_4435_maxbin_440_NRPS_4
3,7329,samp_4445_VAMB_917,contig_2786,samp_4445_VAMB_917_NRPS_5
3737,17544,samp_4445_VAMB_917,contig_7332,samp_4445_VAMB_917_NRPS_6
2093,35976,samp_4324_maxbin_53,contig_182,samp_4324_maxbin_53_NRPS_7
2,8425,samp_4434_metabat2_58,contig_186,samp_4434_metabat2_58_NRPS_8
17553,41122,samp_4322_concoct_184,contig_432,samp_4322_concoct_184_NRPS_9
636,16795,samp_4325_concoct_153,contig_28,samp_4325_concoct_153_NRPS-like_1
1495,11599,samp_4446_metadecoder_636,contig_120,samp_4446_metadecoder_636_NRPS-like_10
2254,35887,samp_4312_concoct_454,contig_249,samp_4312_concoct_454_NRPS-like_11
2430,8722,samp_4434_semibin_67,contig_203,samp_4434_semibin_67_NRPS-like_12
550,31687,samp_4311_concoct_412,contig_530,samp_4311_concoct_412_NRPS-like_13
8304,20262,samp_4443_VAMB_823,contig_1189,samp_4443_VAMB_823_NRPS-like_14
129,29411,samp_4448_metadecoder_579,contig_113,samp_4448_metadecoder_579_NRPS-like_15
97,6389,samp_4435_maxbin_422,contig_182,samp_4435_maxbin_422_NRPS-like_16
12576,27698,samp_4323_semibin_61,contig_74,samp_4323_semibin_61_NRPS-like_17
10503,43704,samp_4323_semibin_61,contig_81,samp_4323_semibin_61_NRPS-like_18
11356,23292,samp_4320_metadecoder_702,contig_55,samp_4320_metadecoder_702_NRPS-like_19
6808,9462,samp_4447_maxbin_94,contig_134,samp_4447_maxbin_94_NRPS-like_2
826,17036,samp_4324_maxbin_53,contig_388,samp_4324_maxbin_53_NRPS-like_20
40,11746,samp_4444_semibin_569,contig_375,samp_4444_semibin_569_NRPS-like_21
8615,41528,samp_4322_concoct_184,contig_1,samp_4322_concoct_184_NRPS-like_22
2446,27080,samp_4322_concoct_184,contig_336,samp_4322_concoct_184_NRPS-like_23
2178,16105,samp_4448_concoct_1792,contig_649,samp_4448_concoct_1792_NRPS-like_24
2688,10543,samp_4445_maxbin_221,contig_353,samp_4445_maxbin_221_NRPS-like_25
6864,25371,samp_4320_semibin_145,contig_392,samp_4320_semibin_145_NRPS-like_26
2,2585,samp_4435_semibin_217,contig_357,samp_4435_semibin_217_NRPS-like_3
1914,39348,samp_4317_concoct_68,contig_195,samp_4317_concoct_68_NRPS-like_4
127,31982,samp_4447_VAMB_472,contig_513,samp_4447_VAMB_472_NRPS-like_5
3019,41270,samp_4441_maxbin_669,contig_134,samp_4441_maxbin_669_NRPS-like_6
11313,42739,samp_4434_VAMB_405,contig_1043,samp_4434_VAMB_405_NRPS-like_7
8475,40470,samp_4434_VAMB_405,contig_2570,samp_4434_VAMB_405_NRPS-like_8
4432,9479,samp_4445_concoct_1447,contig_373,samp_4445_concoct_1447_NRPS-like_9
3,10813,samp_4435_semibin_217,contig_325,samp_4435_semibin_217_NRPS-like-NRPS Hybrid_1
15798,22205,samp_4444_semibin_567,contig_259,samp_4444_semibin_567_NRPS-like-T1PKS_1
8036,37332,samp_4445_metabat2_158,contig_347,samp_4445_metabat2_158_NRPS-like-T1PKS_10
3656,15831,samp_4317_maxbin_26,contig_563,samp_4317_maxbin_26_NRPS-like-T1PKS_11
268,10111,samp_4446_VAMB_97,contig_859,samp_4446_VAMB_97_NRPS-like-T1PKS_2
4291,16462,samp_4321_concoct_295,contig_143,samp_4321_concoct_295_NRPS-like-T1PKS_3
2,14444,samp_4447_concoct_1018,contig_313,samp_4447_concoct_1018_NRPS-like-T1PKS_4
18399,31053,samp_4445_semibin_421,contig_112,samp_4445_semibin_421_NRPS-like-T1PKS_5
3455,32623,samp_4434_semibin_67,contig_183,samp_4434_semibin_67_NRPS-like-T1PKS_6
5829,17585,samp_4435_concoct_1904,contig_1012,samp_4435_concoct_1904_NRPS-like-T1PKS_7
1042,11439,samp_4445_semibin_342,contig_369,samp_4445_semibin_342_NRPS-like-T1PKS_8
472,20998,samp_4320_metadecoder_628,contig_90,samp_4320_metadecoder_628_NRPS-like-T1PKS_9
2074,19647,samp_4434_metabat2_58,contig_297,samp_4434_metabat2_58_NRPS-RRE-Containing_1
2908,19532,samp_4435_concoct_1904,contig_899,samp_4435_concoct_1904_NRPS-T1PKS_1
1490,13697,samp_4319_VAMB_955,contig_876,samp_4319_VAMB_955_Piricyclamide-like_1
103,3594,samp_4324_maxbin_57,contig_142,samp_4324_maxbin_57_Piricyclamide-like_2
245,5491,samp_4324_maxbin_57,contig_424,samp_4324_maxbin_57_Piricyclamide-like_3
3439,10716,samp_4447_VAMB_322,contig_935,samp_4447_VAMB_322_Piricyclamide-like_4
2071,11124,samp_4321_concoct_295,contig_676,samp_4321_concoct_295_Piricyclamide-like_5
3,8325,samp_4320_metadecoder_628,contig_277,samp_4320_metadecoder_628_Piricyclamide-like_6
2,4876,samp_4435_concoct_1904,contig_753,samp_4435_concoct_1904_RiPP-like_1
1019,6171,samp_4445_semibin_366,contig_44,samp_4445_semibin_366_RiPP-like_10
2925,6033,samp_4445_VAMB_519,contig_64,samp_4445_VAMB_519_RiPP-like_2
644,7496,samp_4435_maxbin_440,contig_82,samp_4435_maxbin_440_RiPP-like_3
4499,12659,samp_4443_maxbin_277,contig_222,samp_4443_maxbin_277_RiPP-like_4
458,4603,samp_4445_metabat2_158,contig_426,samp_4445_metabat2_158_RiPP-like_5
2537,4664,samp_4445_metabat2_46,contig_296,samp_4445_metabat2_46_RiPP-like_6
261,4684,samp_4322_concoct_184,contig_235,samp_4322_concoct_184_RiPP-like_7
3493,9155,samp_4444_metadecoder_351,contig_165,samp_4444_metadecoder_351_RiPP-like_8
1058,6345,samp_4444_metabat2_185,contig_184,samp_4444_metabat2_185_RiPP-like_9
433,11882,samp_4445_concoct_1415,contig_928,samp_4445_concoct_1415_RiPP-like-Proteusin
396,8156,samp_4444_metabat2_75,contig_553,samp_4444_metabat2_75_RRE-Containing_1
584,7804,samp_4444_metabat2_185,contig_588,samp_4444_metabat2_185_RRE-Containing_10
6548,13809,samp_4445_semibin_421,contig_290,samp_4445_semibin_421_RRE-Containing_11
3489,12101,samp_4439_concoct_171,contig_155,samp_4439_concoct_171_RRE-Containing_12
3564,15012,samp_4317_concoct_68,contig_97,samp_4317_concoct_68_RRE-Containing_2
1324,6279,samp_4323_metabat2_108,contig_203,samp_4323_metabat2_108_RRE-Containing_3
709,12149,samp_4441_maxbin_669,contig_191,samp_4441_maxbin_669_RRE-Containing_4
4060,12149,samp_4446_metadecoder_636,contig_230,samp_4446_metadecoder_636_RRE-Containing_5
2891,9599,samp_4319_maxbin_413,contig_136,samp_4319_maxbin_413_RRE-Containing_6
1138,7798,samp_4447_metabat2_48,contig_396,samp_4447_metabat2_48_RRE-Containing_7
679,11006,samp_4444_semibin_569,contig_329,samp_4444_semibin_569_RRE-Containing_8
4921,11350,samp_4445_semibin_379,contig_460,samp_4445_semibin_379_RRE-Containing_9
1027,10123,samp_4443_maxbin_277,contig_110,samp_4443_maxbin_277_RRE-Containing-Lassopeptide_1
370,15938,samp_4321_concoct_295,contig_156,samp_4321_concoct_295_Spliceotide_1
2,12451,samp_4308_VAMB_457,contig_1077,samp_4308_VAMB_457_Spliceotide_3
742,6321,samp_4326_metabat2_21,contig_315,samp_4326_metabat2_21_Spliceotide_4
32,13170,samp_4322_metabat2_24,contig_394,samp_4322_metabat2_24_Splideotide_2
1500,7289,samp_4445_concoct_1415,contig_907,samp_4445_concoct_1415_Spumigin-like_1
4557,22260,samp_4319_VAMB_955,contig_507,samp_4319_VAMB_955_T1PKS_1
3217,20824,samp_4322_metabat2_24,contig_185,samp_4322_metabat2_24_T1PKS_10
698,12892,samp_4435_VAMB_805,contig_117,samp_4435_VAMB_805_T1PKS_2
3707,13687,samp_4448_metadecoder_579,contig_38,samp_4448_metadecoder_579_T1PKS_3
20002,29978,samp_4308_VAMB_457,contig_88,samp_4308_VAMB_457_T1PKS_4
409,14577,samp_4447_concoct_1018,contig_1216,samp_4447_concoct_1018_T1PKS_5
1525,8385,samp_4449_metabat2_97,contig_277,samp_4449_metabat2_97_T1PKS_6
5625,23185,samp_4443_metabat2_135,contig_520,samp_4443_metabat2_135_T1PKS_7
1854,21481,samp_4317_maxbin_26,contig_612,samp_4317_maxbin_26_T1PKS_8
1327,14673,samp_4444_metabat2_185,contig_246,samp_4444_metabat2_185_T1PKS_9
2,14732,samp_4445_semibin_379,contig_282,samp_4445_semibin_379_T1PKS-hglE-KS_1
4139,58628,samp_4443_metadecoder_774,contig_17,samp_4443_metadecoder_774_T1PKS-NRPS-Prodigiosin_1
76,15578,samp_4434_metabat2_58,contig_508,samp_4434_metabat2_58_T1PKS-Terpene_1
3,11731,samp_4434_metabat2_58,contig_50,samp_4434_metabat2_58_T3PKS_1
1,6817,samp_4445_VAMB_546,contig_53,samp_4445_VAMB_546_T3PKS_2
3,8405,samp_4443_semibin_466,contig_286,samp_4443_semibin_466_T3PKS_3
2,10857,samp_4444_semibin_482,contig_165,samp_4444_semibin_482_Terpene_1
1,11179,samp_4447_VAMB_472,contig_346,samp_4447_VAMB_472_Terpene_10
1,12592,samp_4448_VAMB_889,contig_147,samp_4448_VAMB_889_Terpene_11
1,10029,samp_4445_maxbin_221,contig_370,samp_4445_maxbin_221_Terpene_12
2,20934,samp_4321_maxbin_137,contig_210,samp_4321_maxbin_137_Terpene_13
2,20832,samp_4321_maxbin_137,contig_261,samp_4321_maxbin_137_Terpene_14
2,11174,samp_4332_VAMB_1153,contig_44,samp_4332_VAMB_1153_Terpene_15
1,17781,samp_4332_VAMB_1153,contig_99,samp_4332_VAMB_1153_Terpene_16
2,17465,samp_4319_VAMB_955,contig_178,samp_4319_VAMB_955_Terpene_17
1,11735,samp_4319_VAMB_955,contig_444,samp_4319_VAMB_955_Terpene_18
1,20971,samp_4445_semibin_342,contig_168,samp_4445_semibin_342_Terpene_19
2,14294,samp_4444_semibin_482,contig_216,samp_4444_semibin_482_Terpene_2
1,11683,samp_4443_metabat2_120,contig_75,samp_4443_metabat2_120_Terpene_20
1,14553,samp_4443_metabat2_120,contig_110,samp_4443_metabat2_120_Terpene_21
1,9349,samp_4443_semibin_400,contig_169,samp_4443_semibin_400_Terpene_22
1,6822,samp_4445_concoct_1447,contig_111,samp_4445_concoct_1447_Terpene_23
1,7391,samp_4445_concoct_1447,contig_277,samp_4445_concoct_1447_Terpene_24
2,20925,samp_4445_metabat2_36,contig_20,samp_4445_metabat2_36_Terpene_25
2,21288,samp_4445_metabat2_36,contig_61,samp_4445_metabat2_36_Terpene_26
1,16730,samp_4445_VAMB_1115,contig_244,samp_4445_VAMB_1115_Terpene_27
1,11707,samp_4324_maxbin_57,contig_128,samp_4324_maxbin_57_Terpene_28
1,9787,samp_4324_maxbin_57,contig_447,samp_4324_maxbin_57_Terpene_29
1,7383,samp_4435_concoct_1904,contig_173,samp_4435_concoct_1904_Terpene_3
2,15548,samp_4434_semibin_67,contig_168,samp_4434_semibin_67_Terpene_30
1,15683,samp_4434_semibin_67,contig_175,samp_4434_semibin_67_Terpene_31
1,8369,samp_4445_metabat2_59,contig_300,samp_4445_metabat2_59_Terpene_32
2,13278,samp_4324_maxbin_57,contig_776,samp_4324_maxbin_57_Terpene_33
2,15474,samp_4448_VAMB_839,contig_1804,samp_4448_VAMB_839_Terpene_34
1,10170,samp_4435_VAMB_805,contig_126,samp_4435_VAMB_805_Terpene_35
1,6020,samp_4444_semibin_481,contig_179,samp_4444_semibin_481_Terpene_36
1,8458,samp_4447_VAMB_322,contig_31,samp_4447_VAMB_322_Terpene_37
1,9556,samp_4447_VAMB_322,contig_532,samp_4447_VAMB_322_Terpene_38
1,10931,samp_4446_VAMB_96,contig_306,samp_4446_VAMB_96_Terpene_39
1,10869,samp_4435_concoct_1904,contig_2065,samp_4435_concoct_1904_Terpene_4
2,15299,samp_4443_VAMB_1051,contig_58,samp_4443_VAMB_1051_Terpene_40
2,14578,samp_4331_metabat2_120,contig_60,samp_4331_metabat2_120_Terpene_41
2,21261,samp_4331_metabat2_120,contig_210,samp_4331_metabat2_120_Terpene_42
1,11042,samp_4435_maxbin_422,contig_157,samp_4435_maxbin_422_Terpene_43
1,11116,samp_4435_maxbin_422,contig_364,samp_4435_maxbin_422_Terpene_44
1,7279,samp_4435_maxbin_440,contig_357,samp_4435_maxbin_440_Terpene_45
1,8377,samp_4435_maxbin_440,contig_634,samp_4435_maxbin_440_Terpene_46
1,10303,samp_4446_VAMB_171,contig_132,samp_4446_VAMB_171_Terpene_47
1,6250,samp_4444_metabat2_78,contig_58,samp_4444_metabat2_78_Terpene_48
2,13325,samp_4444_metabat2_78,contig_113,samp_4444_metabat2_78_Terpene_49
1,6226,samp_4444_metabat2_75,contig_469,samp_4444_metabat2_75_Terpene_5
1,8921,samp_4443_semibin_480,contig_163,samp_4443_semibin_480_Terpene_50
1,12667,samp_4443_maxbin_277,contig_38,samp_4443_maxbin_277_Terpene_51
1,13694,samp_4324_maxbin_53,contig_286,samp_4324_maxbin_53_Terpene_52
1,7719,samp_4321_concoct_295,contig_35,samp_4321_concoct_295_Terpene_53
2,20937,samp_4444_metabat2_114,contig_228,samp_4444_metabat2_114_Terpene_54
1,12244,samp_4320_metadecoder_628,contig_198,samp_4320_metadecoder_628_Terpene_55
1,14241,samp_4443_semibin_379,contig_6,samp_4443_semibin_379_Terpene_56
1,10646,samp_4448_metabat2_83,contig_176,samp_4448_metabat2_83_Terpene_57
2,21086,samp_4444_semibin_569,contig_138,samp_4444_semibin_569_Terpene_58
1,14259,samp_4443_concoct_2141,contig_81,samp_4443_concoct_2141_Terpene_59
2,19772,samp_4317_concoct_68,contig_406,samp_4317_concoct_68_Terpene_6
1,7198,samp_4447_concoct_1018,contig_976,samp_4447_concoct_1018_Terpene_60
1,15840,samp_4445_metabat2_158,contig_342,samp_4445_metabat2_158_Terpene_61
1,14949,samp_4445_metabat2_158,contig_419,samp_4445_metabat2_158_Terpene_62
1,14196,samp_4445_concoct_1532,contig_132,samp_4445_concoct_1532_Terpene_63
1,10734,samp_4445_maxbin_504,contig_64,samp_4445_maxbin_504_Terpene_64
1,11035,samp_4444_semibin_500,contig_4,samp_4444_semibin_500_Terpene_65
2,12146,samp_4445_metabat2_46,contig_72,samp_4445_metabat2_46_Terpene_66
1,8899,samp_4445_metabat2_46,contig_482,samp_4445_metabat2_46_Terpene_67
1,8791,samp_4445_semibin_379,contig_677,samp_4445_semibin_379_Terpene_68
1,16516,samp_4322_concoct_184,contig_278,samp_4322_concoct_184_Terpene_69
1,10535,samp_4444_metabat2_171,contig_181,samp_4444_metabat2_171_Terpene_7
1,7518,samp_4447_metabat2_80,contig_110,samp_4447_metabat2_80_Terpene_70
1,12546,samp_4443_semibin_319,contig_86,samp_4443_semibin_319_Terpene_71
1,8116,samp_4443_semibin_466,contig_149,samp_4443_semibin_466_Terpene_72
1,16756,samp_4444_metadecoder_351,contig_152,samp_4444_metadecoder_351_Terpene_73
1,16519,samp_4313_concoct_735,contig_94,samp_4313_concoct_735_Terpene_74
2,10788,samp_4313_concoct_735,contig_188,samp_4313_concoct_735_Terpene_75
1,14797,samp_4318_metabat2_38,contig_498,samp_4318_metabat2_38_Terpene_76
1,10536,samp_4444_metabat2_185,contig_418,samp_4444_metabat2_185_Terpene_77
1,12649,samp_4322_metabat2_24,contig_181,samp_4322_metabat2_24_Terpene_78
2,12029,samp_4444_metabat2_168,contig_614,samp_4444_metabat2_168_Terpene_79
2,20952,samp_4444_maxbin_831,contig_107,samp_4444_maxbin_831_Terpene_8
1,12949,samp_4448_concoct_1792,contig_692,samp_4448_concoct_1792_Terpene_80
1,13508,samp_4445_semibin_421,contig_279,samp_4445_semibin_421_Terpene_81
2,20832,samp_4445_semibin_421,contig_292,samp_4445_semibin_421_Terpene_82
2,20838,samp_4445_semibin_366,contig_76,samp_4445_semibin_366_Terpene_83
1,21167,samp_4447_VAMB_472,contig_32,samp_4447_VAMB_472_Terpene_9
2,63707,samp_4320_metadecoder_702,contig_50,samp_4320_metadecoder_702_Terpene-NRPS-like_1
2,29356,samp_4448_VAMB_839,contig_142,samp_4448_VAMB_839_Terpene-Oligosaccharide_1
1,13467,samp_4447_VAMB_291,contig_134,samp_4447_VAMB_291_Thioamitide_1
1,15514,samp_4445_metabat2_158,contig_330,samp_4445_metabat2_158_Thioamitide_2